EmployeeID,Experience_Years,Age,Gender,Monthly_Salary,Encoded_Education_Level,Department_HR,Department_IT,Department_Marketing,Department_Operations
1,15,53,2,111416,2,0,0,1,0
2,7,25,2,95271,0,0,0,0,1
3,12,51,2,69064,1,0,1,0,0
4,8,44,1,95091,3,0,0,0,1
5,15,36,2,132450,2,0,0,0,1
6,3,50,1,65818,1,0,0,0,0
7,14,57,1,70525,3,0,1,0,0
8,17,34,2,44830,3,0,1,0,0
9,4,53,1,42429,0,0,1,0,0
10,18,28,1,31893,1,0,0,0,1
11,8,43,1,141381,3,0,0,1,0
12,4,49,2,104909,2,0,1,0,0
13,2,23,2,72333,2,0,0,0,1
14,6,27,1,28436,0,0,0,0,0
15,10,49,2,99290,3,0,0,1,0
16,4,49,2,101213,1,0,0,0,0
17,18,41,2,30895,2,0,0,1,0
18,12,51,2,44738,3,0,0,0,1
19,2,32,1,55746,3,1,0,0,0
20,10,49,1,74377,0,0,0,1,0
21,4,46,2,73404,2,0,0,0,0
22,14,54,2,79045,2,0,0,0,1
23,16,22,1,122888,1,0,0,1,0
24,15,48,1,64790,2,1,0,0,0
25,8,34,2,132455,1,1,0,0,0
26,14,24,1,30600,2,0,1,0,0
27,8,27,2,119660,0,0,1,0,0
28,16,29,2,118179,2,0,0,0,0
29,13,48,1,65764,1,0,0,1,0
30,18,30,1,99543,1,0,0,1,0
31,15,54,2,70714,0,0,1,0,0
32,13,45,2,81835,2,0,0,1,0
33,9,36,1,127946,2,0,0,1,0
34,15,53,2,134616,0,1,0,0,0
35,13,53,1,130983,2,0,1,0,0
36,1,45,2,98744,2,0,0,0,1
37,7,33,1,81491,1,0,1,0,0
38,9,23,1,149123,2,0,0,0,1
39,1,24,1,43589,2,1,0,0,0
40,12,38,2,68484,0,0,0,0,0
41,8,23,2,107989,0,0,0,1,0
42,11,23,1,61212,3,1,0,0,0
43,19,49,2,68525,1,0,0,1,0
44,17,44,1,72202,2,0,0,0,0
45,8,53,1,57635,2,0,0,0,0
46,3,54,2,88208,3,1,0,0,0
47,3,22,2,58828,2,0,0,0,0
48,1,40,1,43711,1,0,0,0,1
49,5,23,2,28420,3,0,0,0,0
50,10,47,2,121752,1,0,0,1,0
